Ticker,Company,Sector,Sector_Raw,Total_Revenue_B,Market_Cap_B,Market_Cap_Quartile,ROE,Profit_Margin,Beta,Headcount,Audit_Risk,Board_Risk,Compensation_Risk,Shareholder_Rights_Risk,Overall_Governance_Risk,Governance_Risk_Level
EME,"EMCOR Group, Inc.",Industrials & Energy,Industrials,18.598,33.086,Q2,0.4035,0.0774,1.13,44000.0,2.0,6.0,6.0,5.0,5.0,Medium
EMR,Emerson Electric Company,Industrials & Energy,Industrials,18.636,83.625,Q3,0.128,0.1383,1.233,71000.0,2.0,7.0,1.0,9.0,8.0,High
ETR,Entergy Corporation,Industrials & Energy,Utilities,13.482,48.738,Q3,0.1025,0.1333,0.481,12000.0,7.0,5.0,6.0,2.0,4.0,Medium
EOG,"EOG Resources, Inc.",Industrials & Energy,Energy,26.721,75.653,Q3,0.2251,0.2573,0.272,3400.0,9.0,5.0,3.0,2.0,3.0,Low
EQT,EQT Corporation,Industrials & Energy,Energy,9.294,31.276,Q2,0.1108,0.2918,0.576,1523.0,9.0,8.0,1.0,5.0,6.0,Medium
EFX,"Equifax, Inc.",Industrials & Energy,Industrials,6.444,18.665,Q1,0.1427,0.1073,1.305,15000.0,1.0,4.0,8.0,8.0,7.0,High
EQIX,"Equinix, Inc.",Consumer,Real Estate,9.904,100.777,Q4,0.1074,0.1548,0.973,13716.0,2.0,8.0,7.0,2.0,3.0,Low
ERIE,Erie Indemnity Company,Finance,Financial Services,4.119,12.5,Q1,0.2481,0.1401,0.305,6667.0,,,,,,
ESS,"Essex Property Trust, Inc.",Consumer,Real Estate,1.981,18.615,Q1,0.0771,0.2089,0.706,1686.0,6.0,9.0,1.0,8.0,7.0,High
EL,"Estee Lauder Companies, Inc. (T",Consumer,Consumer Defensive,15.049,33.803,Q2,0.0474,0.0121,1.274,37950.0,5.0,10.0,10.0,10.0,10.0,High
EG,"Everest Group, Ltd.",Finance,Financial Services,16.825,14.373,Q1,0.1257,0.1138,0.277,3064.0,8.0,3.0,3.0,8.0,5.0,Medium
EVRG,"Evergy, Inc.",Industrials & Energy,Utilities,6.094,18.395,Q1,0.0925,0.1519,0.51,4691.0,7.0,4.0,1.0,4.0,3.0,Low
P,"Everpure, Inc.",Tech & Comms,Technology,4.262,34.702,Q2,0.1771,0.0594,1.434,6400.0,1.0,9.0,6.0,8.0,7.0,High
ES,Eversource Energy (D/B/A),Industrials & Energy,Utilities,13.998,25.508,Q2,0.0902,0.1035,0.698,10731.0,7.0,6.0,7.0,3.0,5.0,Medium
EXC,Exelon Corporation,Industrials & Energy,Utilities,25.326,43.343,Q2,0.0971,0.1099,0.389,20571.0,3.0,1.0,5.0,6.0,2.0,Low
EXE,Expand Energy Corporation,Industrials & Energy,Energy,12.658,20.254,Q1,0.1489,0.2197,0.323,1600.0,5.0,8.0,3.0,8.0,7.0,High
EXPE,"Expedia Group, Inc.",Consumer,Consumer Cyclical,15.7,33.528,Q2,0.8949,0.1297,1.25,16000.0,5.0,10.0,9.0,10.0,10.0,High
EXPD,Expeditors International of Was,Industrials & Energy,Industrials,12.036,24.82,Q2,0.4267,0.0763,1.058,20389.0,8.0,1.0,7.0,2.0,2.0,Low
EXR,Extra Space Storage Inc,Consumer,Real Estate,3.511,30.172,Q2,0.0695,0.2728,1.176,8393.0,3.0,9.0,6.0,9.0,8.0,High
XOM,ExxonMobil Holdings Corporation,Industrials & Energy,Energy,361.06,672.462,Q4,0.1258,0.0907,0.175,57900.0,9.0,7.0,9.0,1.0,7.0,High
FFIV,"F5, Inc.",Tech & Comms,Technology,3.309,24.465,Q2,0.1983,0.2195,1.03,6512.0,4.0,5.0,7.0,4.0,5.0,Medium
FDS,FactSet Research Systems Inc.,Finance,Financial Services,2.438,10.095,Q1,0.2703,0.2321,0.711,12694.0,10.0,4.0,8.0,4.0,8.0,High
FICO,Fair Isaac Corporation,Tech & Comms,Technology,2.394,20.511,Q1,,0.3405,1.318,3876.0,6.0,6.0,6.0,4.0,5.0,Medium
FAST,Fastenal Company,Industrials & Energy,Industrials,8.749,56.239,Q3,0.3433,0.1545,0.713,22230.0,2.0,6.0,9.0,1.0,5.0,Medium
FRT,Federal Realty Investment Trust,Consumer,Real Estate,1.335,9.696,Q1,0.1255,0.3266,0.919,314.0,7.0,1.0,2.0,8.0,4.0,Medium
FDX,FedEx Corporation,Industrials & Energy,Industrials,94.72,71.865,Q3,0.1485,0.0468,1.364,300000.0,3.0,5.0,10.0,6.0,9.0,High
FDXF,"FedEx Freight Holding Company, ",Industrials & Energy,Industrials,8.795,17.962,Q1,0.6909,0.0745,,40000.0,,,,,,
FERG,Ferguson Enterprises Inc.,Industrials & Energy,Industrials,31.446,41.482,Q2,,0.0632,1.112,35000.0,6.0,3.0,3.0,2.0,1.0,Low
FIS,Fidelity National Information S,Tech & Comms,Technology,12.2,18.369,Q1,0.2235,0.2765,0.801,44000.0,10.0,3.0,10.0,6.0,9.0,High
FITB,Fifth Third Bancorp,Finance,Financial Services,10.095,47.984,Q3,0.0844,0.2324,0.913,25197.0,7.0,8.0,4.0,9.0,9.0,High
FSLR,"First Solar, Inc.",Tech & Comms,Technology,5.378,21.06,Q1,0.1851,0.3246,1.733,7900.0,5.0,9.0,8.0,7.0,8.0,High
FE,FirstEnergy Corp.,Industrials & Energy,Utilities,15.636,26.189,Q2,0.0949,0.0694,0.441,11186.0,6.0,5.0,3.0,3.0,3.0,Low
FI,"Fiserv, Inc.",Finance,Financial Services,19.09,25.094,Q2,,0.16,0.88,42000.0,3.0,4.0,5.0,4.0,4.0,Medium
FLEX,Flex Ltd.,Tech & Comms,Technology,29.267,40.084,Q2,0.1838,0.0333,1.654,149686.0,1.0,5.0,10.0,8.0,9.0,High
F,Ford Motor Company,Consumer,Consumer Cyclical,187.973,52.676,Q3,-0.1825,-0.0394,1.835,169000.0,10.0,10.0,8.0,10.0,10.0,High
FTNT,"Fortinet, Inc.",Tech & Comms,Technology,7.527,124.614,Q4,1.1744,0.2817,1.059,15472.0,1.0,7.0,8.0,5.0,6.0,Medium
FTV,Fortive Corporation,Tech & Comms,Technology,4.316,16.611,Q1,0.0732,0.1238,0.973,10000.0,2.0,1.0,9.0,7.0,6.0,Medium
FOXA,Fox Corporation,Tech & Comms,Communication Services,17.126,27.177,Q2,0.1429,0.0984,0.559,10550.0,3.0,10.0,6.0,10.0,10.0,High
FOX,Fox Corporation,Tech & Comms,Communication Services,17.126,24.347,Q2,0.1429,0.0984,0.559,10550.0,,,,,,
BEN,"Franklin Templeton, Inc.",Finance,Financial Services,9.324,16.772,Q1,0.0789,0.0872,1.57,10100.0,7.0,6.0,7.0,4.0,6.0,Medium
FCX,"Freeport-McMoRan, Inc.",Industrials & Energy,Basic Materials,25.868,102.733,Q4,0.1475,0.1139,1.401,29000.0,4.0,5.0,2.0,6.0,3.0,Low
GRMN,Garmin Ltd.,Tech & Comms,Technology,7.671,52.853,Q3,0.2189,0.2447,0.866,23000.0,7.0,9.0,8.0,7.0,8.0,High
IT,"Gartner, Inc.",Tech & Comms,Technology,6.464,11.732,Q1,1.1358,0.12,0.953,19285.0,1.0,7.0,4.0,2.0,3.0,Low
GE,GE Aerospace,Industrials & Energy,Industrials,50.639,326.075,Q4,0.4823,0.1772,1.35,57000.0,9.0,6.0,8.0,3.0,7.0,High
GEHC,GE HealthCare Technologies Inc.,Healthcare,Healthcare,21.266,28.967,Q2,0.1938,0.0933,0.821,54000.0,1.0,5.0,5.0,5.0,3.0,Low
GEV,GE Vernova Inc.,Industrials & Energy,Industrials,41.367,250.441,Q4,0.8258,0.2303,0.967,78000.0,10.0,3.0,6.0,8.0,7.0,High
GEN,Gen Digital Inc.,Tech & Comms,Technology,5.079,17.365,Q1,0.4194,0.2073,1.215,3900.0,8.0,8.0,10.0,2.0,9.0,High
GNRC,Generac Holdlings Inc.,Industrials & Energy,Industrials,4.439,12.252,Q1,0.0949,0.0582,1.913,9400.0,5.0,9.0,8.0,9.0,9.0,High
GD,General Dynamics Corporation,Industrials & Energy,Industrials,54.861,95.52,Q4,0.178,0.0818,0.321,117000.0,7.0,4.0,3.0,3.0,2.0,Low
GIS,"General Mills, Inc.",Consumer,Consumer Defensive,18.425,19.418,Q1,-0.0103,-0.0047,-0.025,30000.0,9.0,5.0,3.0,8.0,7.0,High
GM,General Motors Company,Consumer,Consumer Cyclical,185.528,74.346,Q3,0.0316,0.0105,1.321,156000.0,4.0,8.0,6.0,4.0,6.0,Medium
GPC,Genuine Parts Company,Consumer,Consumer Cyclical,25.072,17.657,Q1,0.0071,0.0013,0.656,65000.0,5.0,8.0,8.0,4.0,7.0,High
GILD,"Gilead Sciences, Inc.",Healthcare,Healthcare,30.457,186.13,Q4,-0.2068,-0.1064,0.35,17000.0,9.0,5.0,8.0,2.0,5.0,Medium
GPN,Global Payments Inc.,Industrials & Energy,Industrials,10.207,22.508,Q2,0.0243,-0.0915,0.785,26000.0,2.0,3.0,10.0,2.0,8.0,High
GL,Globe Life Inc.,Finance,Financial Services,6.192,13.327,Q1,0.2094,0.1958,0.462,3695.0,2.0,6.0,9.0,3.0,6.0,Medium
GDDY,GoDaddy Inc.,Tech & Comms,Technology,5.104,12.343,Q1,4.4286,0.1783,0.94,5845.0,2.0,2.0,2.0,7.0,3.0,Low
GS,"Goldman Sachs Group, Inc. (The)",Finance,Financial Services,67.57,274.283,Q4,0.169,0.3104,1.283,46200.0,6.0,9.0,10.0,7.0,9.0,High
HAL,Halliburton Company,Industrials & Energy,Energy,22.373,28.027,Q2,0.1492,0.0716,0.769,46000.0,9.0,6.0,1.0,2.0,3.0,Low
HIG,"The Hartford Insurance Group, I",Finance,Financial Services,29.315,35.725,Q2,0.2206,0.1489,0.45,19200.0,8.0,3.0,4.0,7.0,5.0,Medium
HAS,"Hasbro, Inc.",Consumer,Consumer Cyclical,4.973,12.351,Q1,1.5956,0.1597,0.466,4520.0,10.0,2.0,1.0,8.0,5.0,Medium
HCA,"HCA Healthcare, Inc.",Healthcare,Healthcare,78.013,92.6,Q3,,0.0877,1.109,230000.0,8.0,9.0,4.0,3.0,6.0,Medium
DOC,"Healthpeak Properties, Inc.",Consumer,Real Estate,2.95,14.413,Q1,0.0304,0.0825,0.989,411.0,2.0,4.0,3.0,8.0,4.0,Medium
HSIC,"Henry Schein, Inc.",Healthcare,Healthcare,13.602,9.455,Q1,0.0885,0.0296,0.812,25000.0,4.0,8.0,6.0,4.0,5.0,Medium
HSY,The Hershey Company,Consumer,Consumer Defensive,12.164,34.115,Q2,0.3281,0.1224,0.097,17550.0,5.0,7.0,7.0,10.0,9.0,High
HPE,Hewlett Packard Enterprise Comp,Tech & Comms,Technology,41.871,80.657,Q3,0.1094,0.0667,1.442,67000.0,2.0,1.0,9.0,6.0,7.0,High
HLT,Hilton Worldwide Holdings Inc.,Consumer,Consumer Cyclical,5.104,68.809,Q3,,0.3103,1.056,182000.0,4.0,7.0,7.0,5.0,6.0,Medium
HD,"Home Depot, Inc. (The)",Consumer,Consumer Cyclical,169.176,299.287,Q4,1.043,0.0841,0.955,470000.0,5.0,5.0,6.0,1.0,2.0,Low
HONA,Honeywell Aerospace Inc.,Industrials & Energy,Industrials,17.915,51.853,Q3,,0.1086,,30000.0,,,,,,
HON,Honeywell International Inc.,Industrials & Energy,Industrials,38.057,65.435,Q3,0.4658,0.2158,0.901,101000.0,1.0,5.0,8.0,4.0,4.0,Medium
HRL,Hormel Foods Corporation,Consumer,Consumer Defensive,12.147,11.464,Q1,0.0429,0.0282,0.315,20000.0,9.0,3.0,7.0,8.0,7.0,High
HST,"Host Hotels & Resorts, Inc.",Consumer,Real Estate,6.234,15.173,Q1,0.1556,0.1647,1.101,162.0,2.0,8.0,1.0,9.0,7.0,High
HWM,Howmet Aerospace Inc.,Industrials & Energy,Industrials,9.117,91.593,Q3,0.3473,0.2052,1.186,25430.0,7.0,5.0,10.0,4.0,9.0,High
HPQ,HP Inc.,Tech & Comms,Technology,59.162,31.022,Q2,,0.0414,1.205,55000.0,5.0,2.0,5.0,3.0,1.0,Low
HUBB,Hubbell Inc,Industrials & Energy,Industrials,6.224,23.612,Q2,0.2444,0.1449,0.889,19400.0,1.0,8.0,3.0,3.0,3.0,Low
HUM,Humana Inc.,Healthcare,Healthcare,145.679,46.377,Q3,0.0689,0.0088,0.745,67060.0,2.0,2.0,5.0,2.0,1.0,Low
HBAN,Huntington Bancshares Incorpora,Finance,Financial Services,9.177,32.084,Q2,0.09,0.2613,0.941,25527.0,3.0,8.0,3.0,9.0,9.0,High
HII,"Huntington Ingalls Industries, ",Industrials & Energy,Industrials,13.185,10.752,Q1,0.1297,0.0501,0.225,45000.0,8.0,4.0,5.0,2.0,3.0,Low
IBM,International Business Machines,Tech & Comms,Technology,69.095,216.267,Q4,0.3446,0.1552,0.708,264300.0,8.0,7.0,3.0,4.0,6.0,Medium
IEX,IDEX Corporation,Industrials & Energy,Industrials,3.585,16.493,Q1,0.1295,0.1449,0.972,8700.0,6.0,2.0,8.0,9.0,7.0,High
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Healthcare,4.553,40.308,Q2,0.7421,0.2503,1.538,11000.0,4.0,7.0,5.0,7.0,7.0,High
ITW,Illinois Tool Works Inc.,Industrials & Energy,Industrials,16.469,76.731,Q3,1.0462,0.1939,0.997,43000.0,7.0,6.0,5.0,3.0,4.0,Medium
ILMN,"Illumina, Inc.",Healthcare,Healthcare,4.494,36.183,Q2,0.3234,0.1834,1.467,8600.0,2.0,1.0,6.0,2.0,2.0,Low
INCY,Incyte Corporation,Healthcare,Healthcare,5.82,25.4,Q2,0.3067,0.2771,0.77,2844.0,10.0,4.0,9.0,6.0,8.0,High
IR,Ingersoll Rand Inc.,Industrials & Energy,Industrials,7.942,27.87,Q2,0.0947,0.1208,1.147,21000.0,5.0,7.0,3.0,5.0,5.0,Medium
PODD,Insulet Corporation,Healthcare,Healthcare,3.053,9.751,Q1,0.2602,0.1229,1.079,5400.0,1.0,2.0,7.0,10.0,8.0,High
INTC,Intel Corporation,Tech & Comms,Technology,57.032,574.071,Q4,-0.1071,-0.1979,2.231,85100.0,8.0,4.0,9.0,2.0,7.0,High
IBKR,"Interactive Brokers Group, Inc.",Finance,Financial Services,6.835,154.519,Q4,0.2402,0.1647,1.349,3265.0,4.0,10.0,9.0,10.0,10.0,High
ICE,Intercontinental Exchange Inc.,Finance,Financial Services,10.558,87.28,Q3,0.1409,0.3825,0.934,12725.0,2.0,5.0,5.0,3.0,3.0,Low
IFF,International Flavors & Fragran,Industrials & Energy,Basic Materials,10.781,21.167,Q1,-0.0555,0.0257,0.953,21500.0,5.0,1.0,9.0,6.0,6.0,Medium
IP,International Paper Company,Consumer,Consumer Cyclical,24.203,18.286,Q1,-0.1648,-0.1421,0.883,62602.0,5.0,8.0,2.0,2.0,3.0,Low
INTU,Intuit Inc.,Tech & Comms,Technology,21.448,81.023,Q3,0.236,0.2129,0.976,18600.0,1.0,4.0,4.0,2.0,1.0,Low
ISRG,"Intuitive Surgical, Inc.",Healthcare,Healthcare,11.034,140.922,Q4,0.1742,0.2845,1.465,17021.0,1.0,6.0,6.0,4.0,4.0,Medium
IVZ,Invesco Ltd,Finance,Financial Services,6.902,13.479,Q1,-0.0057,-0.0093,1.605,7405.0,9.0,4.0,2.0,4.0,3.0,Low
INVH,Invitation Homes Inc.,Consumer,Real Estate,2.848,15.894,Q1,0.0705,0.232,0.831,1725.0,2.0,1.0,8.0,9.0,7.0,High
IQV,"IQVIA Holdings, Inc.",Healthcare,Healthcare,16.983,43.853,Q2,0.2282,0.081,1.186,94000.0,1.0,6.0,8.0,7.0,6.0,Medium
IRM,Iron Mountain Incorporated (Del,Consumer,Real Estate,7.562,34.039,Q2,,0.0554,1.204,29400.0,1.0,3.0,5.0,5.0,2.0,Low
JBHT,"J.B. Hunt Transport Services, I",Industrials & Energy,Industrials,12.701,22.0,Q1,0.1845,0.0531,1.289,31750.0,10.0,9.0,3.0,4.0,8.0,High
JBL,Jabil Inc.,Tech & Comms,Technology,33.59,31.391,Q2,0.6588,0.0257,1.292,135000.0,9.0,10.0,4.0,5.0,8.0,High
JKHY,"Jack Henry & Associates, Inc.",Tech & Comms,Technology,2.544,10.857,Q1,0.2404,0.1976,0.564,7300.0,1.0,2.0,1.0,5.0,1.0,Low
J,Jacobs Solutions Inc.,Industrials & Energy,Industrials,14.219,16.783,Q1,0.08,0.0238,0.679,47000.0,2.0,6.0,2.0,5.0,4.0,Medium
JNJ,Johnson & Johnson,Healthcare,Healthcare,97.929,650.648,Q4,0.2574,0.2148,0.235,138200.0,4.0,7.0,4.0,3.0,4.0,Medium
JCI,Johnson Controls International ,Industrials & Energy,Industrials,24.995,86.791,Q3,0.1433,0.1432,1.304,87000.0,5.0,2.0,4.0,7.0,3.0,Low
JPM,JP Morgan Chase & Co.,Finance,Financial Services,186.328,929.488,Q4,0.1779,0.3492,0.975,320560.0,6.0,6.0,4.0,3.0,3.0,Low
KVUE,Kenvue Inc.,Consumer,Consumer Defensive,15.408,34.209,Q2,0.1558,0.1076,0.426,21780.0,4.0,3.0,6.0,7.0,5.0,Medium
KDP,Keurig Dr Pepper Inc.,Consumer,Consumer Defensive,20.09,42.131,Q2,0.051,0.071,0.414,50000.0,9.0,3.0,6.0,9.0,8.0,High
KEY,KeyCorp,Finance,Financial Services,7.371,22.207,Q2,0.1033,0.2754,1.023,17493.0,3.0,7.0,8.0,2.0,6.0,Medium
KEYS,Keysight Technologies Inc.,Tech & Comms,Technology,6.582,57.032,Q3,0.209,0.1914,1.208,16600.0,6.0,4.0,3.0,8.0,6.0,Medium
KMB,Kimberly-Clark Corporation,Consumer,Consumer Defensive,16.582,32.546,Q2,1.0491,0.1179,0.273,36000.0,3.0,5.0,6.0,4.0,4.0,Medium
KIM,Kimco Realty Corporation (HC),Consumer,Real Estate,2.187,15.113,Q1,0.0581,0.2776,0.956,710.0,3.0,5.0,3.0,8.0,5.0,Medium
KMI,"Kinder Morgan, Inc.",Industrials & Energy,Energy,17.959,70.901,Q3,0.1099,0.193,0.551,11028.0,8.0,9.0,3.0,7.0,8.0,High
KKR,KKR & Co. Inc.,Finance,Financial Services,25.833,91.26,Q3,0.0728,0.122,1.791,5043.0,,,,,,
KLAC,KLA Corporation,Tech & Comms,Technology,13.579,231.246,Q4,0.875,0.3557,1.444,17000.0,3.0,2.0,4.0,8.0,5.0,Medium
KHC,The Kraft Heinz Company,Consumer,Consumer Defensive,24.9,28.97,Q2,-0.0876,-0.1364,0.082,35000.0,5.0,2.0,6.0,3.0,2.0,Low
KR,Kroger Company (The),Consumer,Consumer Defensive,149.326,35.76,Q2,0.1444,0.0073,0.406,400000.0,4.0,7.0,7.0,7.0,7.0,High
LHX,"L3Harris Technologies, Inc.",Industrials & Energy,Industrials,22.932,46.049,Q3,0.0934,0.0817,0.506,45000.0,2.0,3.0,8.0,7.0,6.0,Medium
LH,Labcorp Holdings Inc.,Healthcare,Healthcare,14.348,26.01,Q2,0.1173,0.0699,0.851,71000.0,3.0,7.0,3.0,1.0,1.0,Low
LRCX,Lam Research Corporation,Tech & Comms,Technology,23.233,360.518,Q4,0.6507,0.3127,1.859,23300.0,3.0,2.0,4.0,1.0,1.0,Low
LVS,Las Vegas Sands Corp.,Consumer,Consumer Cyclical,13.719,25.895,Q2,1.2287,0.1259,0.819,41000.0,4.0,10.0,9.0,9.0,9.0,High
LDOS,"Leidos Holdings, Inc.",Tech & Comms,Technology,17.634,16.024,Q1,0.2778,0.078,0.572,50000.0,4.0,1.0,5.0,2.0,1.0,Low
LEN,Lennar Corporation,Consumer,Consumer Cyclical,31.973,18.412,Q1,0.0596,0.0409,1.398,12532.0,4.0,10.0,7.0,10.0,9.0,High
LII,"Lennox International, Inc.",Industrials & Energy,Industrials,5.302,12.415,Q1,0.7176,0.1487,1.184,5400.0,3.0,3.0,7.0,9.0,8.0,High
LLY,Eli Lilly and Company,Healthcare,Healthcare,79.666,1028.115,Q4,1.0229,0.3353,0.502,50000.0,8.0,5.0,5.0,9.0,8.0,High
LIN,Linde plc,Industrials & Energy,Basic Materials,35.449,212.235,Q4,0.184,0.2044,0.727,64649.0,10.0,8.0,1.0,4.0,5.0,Medium
LYV,"Live Nation Entertainment, Inc.",Tech & Comms,Communication Services,26.273,38.932,Q2,0.1768,0.0051,1.116,17700.0,10.0,5.0,9.0,9.0,9.0,High
LMT,Lockheed Martin Corporation,Industrials & Energy,Industrials,77.014,123.099,Q4,0.8917,0.0816,0.104,123000.0,1.0,9.0,4.0,7.0,6.0,Medium
L,Loews Corporation,Finance,Financial Services,18.694,22.031,Q1,0.0931,0.0902,0.507,13100.0,10.0,9.0,8.0,4.0,9.0,High
LOW,"Lowe's Companies, Inc.",Consumer,Consumer Cyclical,90.432,107.997,Q4,,0.0735,0.846,300000.0,4.0,5.0,5.0,3.0,3.0,Low
LULU,lululemon athletica inc.,Consumer,Consumer Cyclical,11.094,10.856,Q1,0.309,0.1278,0.864,39000.0,7.0,8.0,10.0,9.0,10.0,High
LITE,Lumentum Holdings Inc.,Tech & Comms,Technology,3.014,83.503,Q3,-2.4003,-2.301,1.541,13757.0,4.0,6.0,9.0,7.0,9.0,High
LYB,LyondellBasell Industries NV,Industrials & Energy,Basic Materials,31.192,20.006,Q1,-0.0227,-0.0113,0.353,18970.0,1.0,2.0,1.0,2.0,1.0,Low
MTB,M&T Bank Corporation,Finance,Financial Services,9.451,32.827,Q2,0.1074,0.3209,0.563,21662.0,6.0,9.0,4.0,6.0,7.0,High
MPC,Marathon Petroleum Corporation,Industrials & Energy,Energy,154.146,119.32,Q4,0.421,0.0555,0.527,18500.0,7.0,4.0,1.0,9.0,6.0,Medium
MAR,Marriott International,Consumer,Consumer Cyclical,7.385,88.379,Q3,,0.3503,1.104,414000.0,5.0,5.0,5.0,9.0,7.0,High
MRSH,Marsh,Finance,Financial Services,27.947,83.517,Q3,0.259,0.1424,0.577,95000.0,2.0,3.0,8.0,5.0,5.0,Medium
MLM,"Martin Marietta Materials, Inc.",Industrials & Energy,Basic Materials,6.688,34.845,Q2,0.0889,0.3674,1.101,9600.0,6.0,6.0,5.0,8.0,7.0,High
MRVL,"Marvell Technology, Inc.",Tech & Comms,Technology,9.45,219.509,Q4,0.1652,0.2793,2.253,7480.0,7.0,8.0,10.0,1.0,9.0,High
MAS,Masco Corporation,Industrials & Energy,Industrials,7.62,13.421,Q1,58.625,0.1161,1.294,18000.0,9.0,4.0,7.0,7.0,7.0,High
MA,Mastercard Incorporated,Finance,Financial Services,35.083,495.156,Q4,2.412,0.4634,0.735,39800.0,4.0,2.0,5.0,3.0,2.0,Low
MKC,"McCormick & Company, Incorporat",Consumer,Consumer Defensive,7.386,13.098,Q1,0.2473,0.2191,0.634,14100.0,4.0,10.0,4.0,10.0,10.0,High
MCD,McDonald's Corporation,Consumer,Consumer Cyclical,27.702,175.665,Q4,,0.3172,0.414,150000.0,6.0,5.0,2.0,7.0,5.0,Medium
MCK,McKesson Corporation,Healthcare,Healthcare,410.983,101.976,Q4,,0.0112,0.307,41600.0,9.0,6.0,1.0,4.0,4.0,Medium
MDT,Medtronic plc.,Healthcare,Healthcare,37.542,117.847,Q4,0.1065,0.1393,0.574,95000.0,8.0,7.0,6.0,6.0,7.0,High
MRK,"Merck & Company, Inc.",Healthcare,Healthcare,66.569,362.353,Q4,0.0696,0.0477,0.226,73000.0,7.0,7.0,3.0,2.0,3.0,Low
META,"Meta Platforms, Inc.",Tech & Comms,Communication Services,228.247,1696.002,Q4,0.2985,0.2983,1.243,75472.0,9.0,10.0,10.0,10.0,10.0,High
MET,"MetLife, Inc.",Finance,Financial Services,79.398,61.667,Q3,0.1309,0.0457,0.759,46000.0,4.0,3.0,1.0,9.0,4.0,Medium
MTD,"Mettler-Toledo International, I",Healthcare,Healthcare,4.134,27.897,Q2,,0.2191,1.22,16600.0,2.0,1.0,6.0,5.0,2.0,Low
MGM,MGM Resorts International,Consumer,Consumer Cyclical,17.761,9.674,Q1,0.1892,0.024,1.282,60000.0,10.0,2.0,4.0,1.0,1.0,Low
MCHP,Microchip Technology Incorporat,Tech & Comms,Technology,5.122,39.786,Q2,0.0719,0.0934,1.736,17900.0,6.0,9.0,9.0,2.0,8.0,High
MU,"Micron Technology, Inc.",Tech & Comms,Technology,90.274,1147.238,Q4,0.6664,0.5591,2.222,53000.0,1.0,7.0,6.0,1.0,2.0,Low
MSFT,Microsoft Corporation,Tech & Comms,Technology,331.839,3666.586,Q4,0.3404,0.4031,1.108,223000.0,9.0,7.0,5.0,2.0,5.0,Medium
MAA,Mid-America Apartment Communiti,Consumer,Real Estate,2.219,14.148,Q1,0.0705,0.1817,0.715,2507.0,5.0,6.0,1.0,1.0,1.0,Low
MRNA,"Moderna, Inc.",Healthcare,Healthcare,2.228,61.498,Q3,-0.39,-1.4143,1.106,4700.0,7.0,7.0,10.0,9.0,10.0,High
MDLZ,"Mondelez International, Inc.",Consumer,Consumer Defensive,39.675,77.663,Q3,0.1334,0.0886,0.402,91000.0,3.0,7.0,4.0,4.0,4.0,Medium
MPWR,"Monolithic Power Systems, Inc.",Tech & Comms,Technology,3.273,59.846,Q3,0.2198,0.245,1.664,4501.0,10.0,8.0,4.0,9.0,9.0,High
MNST,Monster Beverage Corporation,Consumer,Consumer Defensive,9.219,87.589,Q3,0.257,0.2308,0.515,5773.0,8.0,9.0,7.0,1.0,6.0,Medium
MCO,Moody's Corporation,Finance,Financial Services,8.16,81.151,Q3,0.7693,0.3425,1.334,16000.0,2.0,3.0,6.0,4.0,3.0,Low
MS,Morgan Stanley,Finance,Financial Services,77.828,318.165,Q4,0.1797,0.259,1.207,83000.0,6.0,5.0,5.0,7.0,6.0,Medium
MOS,Mosaic Company (The),Industrials & Energy,Basic Materials,12.248,7.782,Q1,-0.0507,-0.0521,0.831,13000.0,9.0,1.0,2.0,5.0,2.0,Low
MSI,"Motorola Solutions, Inc.",Tech & Comms,Technology,12.237,75.907,Q3,0.9157,0.1744,0.881,23000.0,1.0,8.0,1.0,1.0,1.0,Low
MSCI,MSCI Inc.,Finance,Financial Services,3.334,40.194,Q2,,0.4073,1.219,6327.0,1.0,5.0,7.0,7.0,6.0,Medium
NDAQ,"Nasdaq, Inc.",Finance,Financial Services,5.614,52.287,Q3,0.1652,0.3504,0.974,9630.0,1.0,4.0,4.0,4.0,2.0,Low
NTAP,"NetApp, Inc.",Tech & Comms,Technology,7.391,38.85,Q2,1.1482,0.1918,1.432,11700.0,1.0,1.0,7.0,3.0,2.0,Low
NFLX,"Netflix, Inc.",Tech & Comms,Communication Services,48.371,298.929,Q4,0.4954,0.2822,1.526,16000.0,10.0,3.0,6.0,5.0,5.0,Medium
NEM,Newmont Corporation,Industrials & Energy,Basic Materials,25.767,130.036,Q4,0.2591,0.3336,0.543,17500.0,5.0,1.0,1.0,6.0,1.0,Low
NWSA,News Corporation,Tech & Comms,Communication Services,9.028,15.964,Q1,0.0798,0.0635,0.923,21700.0,7.0,10.0,8.0,10.0,10.0,High
NWS,News Corporation,Tech & Comms,Communication Services,9.028,17.518,Q1,0.0798,0.0635,0.923,21700.0,,,,,,
NEE,"NextEra Energy, Inc.",Industrials & Energy,Utilities,28.7,167.859,Q4,0.1168,0.324,0.644,17400.0,7.0,6.0,7.0,3.0,5.0,Medium
NKE,"Nike, Inc.",Consumer,Consumer Cyclical,46.398,52.679,Q3,0.2214,0.067,1.11,73000.0,9.0,9.0,10.0,10.0,10.0,High
NI,NiSource Inc,Industrials & Energy,Utilities,6.882,19.461,Q1,0.0855,0.1315,0.54,7668.0,7.0,3.0,5.0,5.0,4.0,Medium
